TimeStamp,NYA_DCS_G6710A_Rear_Bear_Temp,HEALTH
2022-01-21 15:00:00+07:00,92.44,100.0
2022-01-21 16:00:00+07:00,92.27,100.0
2022-01-21 17:00:00+07:00,91.59,100.0
2022-01-21 18:00:00+07:00,92.41,100.0
2022-01-21 19:00:00+07:00,93.2,100.0
2022-01-21 22:00:00+07:00,93.2,100.0
2022-01-21 23:00:00+07:00,93.2,100.0
2022-01-22 00:00:00+07:00,93.2,100.0
2022-01-22 01:00:00+07:00,93.2,100.0
2022-01-22 02:00:00+07:00,93.2,100.0
2022-01-22 03:00:00+07:00,93.2,100.0
2022-01-22 04:00:00+07:00,92.35,100.0
2022-01-22 05:00:00+07:00,89.9,100.0
2022-01-22 06:00:00+07:00,86.49,100.0
2022-01-22 07:00:00+07:00,87.09,100.0
2022-01-22 08:00:00+07:00,89.89,100.0
2022-01-22 09:00:00+07:00,91.38,100.0
2022-01-22 10:00:00+07:00,89.1,100.0
2022-01-22 11:00:00+07:00,86.0,100.0
2022-01-22 12:00:00+07:00,86.73,100.0
2022-01-22 13:00:00+07:00,86.8,100.0
2022-01-22 15:00:00+07:00,85.18,100.0
2022-01-22 16:00:00+07:00,84.2,100.0
2022-01-22 17:00:00+07:00,84.2,100.0
2022-01-22 18:00:00+07:00,85.75,100.0
2022-01-22 20:00:00+07:00,91.0,100.0
2022-01-22 21:00:00+07:00,92.38,100.0
2022-01-22 22:00:00+07:00,93.2,100.0
2022-01-22 23:00:00+07:00,93.2,100.0
2022-01-23 00:00:00+07:00,93.2,100.0
2022-01-23 01:00:00+07:00,93.2,100.0
2022-01-23 02:00:00+07:00,92.9,100.0
2022-01-23 03:00:00+07:00,91.57,100.0
2022-01-23 04:00:00+07:00,89.96,100.0
2022-01-23 06:00:00+07:00,84.33,100.0
2022-01-23 08:00:00+07:00,84.55,100.0
2022-01-23 09:00:00+07:00,88.11,100.0
2022-01-23 10:00:00+07:00,89.77,100.0
2022-01-23 13:00:00+07:00,93.46,100.0
2022-01-24 16:00:00+07:00,95.86,100.0
2022-01-24 17:00:00+07:00,92.51,100.0
2022-01-24 18:00:00+07:00,89.83,100.0
2022-01-24 20:00:00+07:00,89.58,100.0
2022-01-24 21:00:00+07:00,89.07,100.0
2022-01-24 22:00:00+07:00,87.84,100.0
2022-01-24 23:00:00+07:00,87.99,100.0
2022-01-25 00:00:00+07:00,88.92,100.0
2022-01-25 01:00:00+07:00,87.79,100.0
2022-01-25 02:00:00+07:00,85.86,100.0
2022-01-25 03:00:00+07:00,84.03,100.0
2022-01-25 06:00:00+07:00,84.86,100.0
2022-01-25 07:00:00+07:00,86.0,100.0
2022-01-25 08:00:00+07:00,87.53,100.0
2022-01-25 09:00:00+07:00,87.91,100.0
2022-01-25 10:00:00+07:00,89.11,100.0
2022-01-25 12:00:00+07:00,90.88,100.0
2022-01-25 14:00:00+07:00,91.75,100.0
2022-01-27 09:00:00+07:00,95.61,100.0
2022-01-27 10:00:00+07:00,93.2,100.0
2022-01-27 11:00:00+07:00,91.65,100.0
2022-01-27 12:00:00+07:00,90.51,100.0
2022-01-27 13:00:00+07:00,87.85,100.0
2022-01-27 14:00:00+07:00,87.57,100.0
2022-01-27 15:00:00+07:00,92.66,100.0
2022-01-27 16:00:00+07:00,93.21,100.0
2022-01-27 17:00:00+07:00,89.2,100.0
2022-01-27 18:00:00+07:00,86.43,100.0
2022-01-27 19:00:00+07:00,85.19,100.0
2022-01-27 20:00:00+07:00,84.2,100.0
2022-01-27 21:00:00+07:00,84.2,100.0
2022-01-27 22:00:00+07:00,84.2,100.0
2022-01-27 23:00:00+07:00,84.2,100.0
2022-01-28 00:00:00+07:00,84.2,100.0
2022-01-28 08:00:00+07:00,84.93,100.0
2022-01-28 09:00:00+07:00,84.23,100.0
2022-01-28 10:00:00+07:00,85.98,100.0
2022-01-28 11:00:00+07:00,85.9,100.0
2022-01-28 12:00:00+07:00,84.93,100.0
2022-01-28 13:00:00+07:00,85.95,100.0
2022-01-28 14:00:00+07:00,85.42,100.0
2022-01-28 15:00:00+07:00,84.51,100.0
2022-01-28 16:00:00+07:00,84.22,100.0
2022-01-28 17:00:00+07:00,84.2,100.0
2022-01-28 18:00:00+07:00,85.82,100.0
2022-01-28 19:00:00+07:00,88.98,100.0
2022-01-28 20:00:00+07:00,89.6,100.0
2022-01-28 21:00:00+07:00,88.08,100.0
2022-01-28 22:00:00+07:00,86.0,100.0
2022-01-28 23:00:00+07:00,85.62,100.0
2022-01-29 00:00:00+07:00,83.77,100.0
2022-01-29 01:00:00+07:00,82.4,100.0
2022-01-29 02:00:00+07:00,82.4,100.0
2022-01-29 03:00:00+07:00,82.4,100.0
2022-01-29 04:00:00+07:00,82.4,100.0
2022-01-29 05:00:00+07:00,82.4,100.0
2022-01-29 06:00:00+07:00,82.4,100.0
2022-01-29 07:00:00+07:00,82.4,100.0
2022-01-29 08:00:00+07:00,82.4,100.0
2022-01-29 09:00:00+07:00,82.37,100.0
2022-01-29 10:00:00+07:00,83.67,100.0
2022-01-29 11:00:00+07:00,84.2,100.0
2022-01-29 12:00:00+07:00,84.71,100.0
2022-01-29 13:00:00+07:00,85.33,100.0
2022-01-29 14:00:00+07:00,86.1,100.0
2022-01-29 15:00:00+07:00,86.03,100.0
2022-01-29 16:00:00+07:00,87.04,100.0
2022-01-29 17:00:00+07:00,86.95,100.0
2022-01-29 18:00:00+07:00,87.44,100.0
2022-01-29 19:00:00+07:00,87.65,100.0
2022-01-29 20:00:00+07:00,87.8,100.0
